pl_name,hostname,default_flag,pl_bmassprov,pl_controv_flag,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim
WASP-1 b,WASP-1,0,Mass,0,21.633,6.725,-6.725,0,282.8687,44.4962,-44.4962,0,2.51995,1e-05,-1e-05,0,,,,0,6200.0,200.0,-200.0,0,1.24,0.68,-0.2,0,1.15,0.24,-0.09,0,4.3,0.3,-0.3,0
WASP-60 b,WASP-60,0,Mass,0,9.64,1.35,-1.35,0,163.358,10.806,-10.806,0,4.3050011,6.2e-06,-6.2e-06,0,1320.0,75.0,-75.0,0,5900.0,100.0,-100.0,0,1.14,0.13,-0.13,0,1.08,0.04,-0.04,0,4.35,0.09,-0.09,0
TOI-1130 c,TOI-1130,1,Mass,0,16.814,3.026,-2.466,0,309.56642,13.66669,-13.98452,0,8.350381,3.2e-05,-3.3e-05,0,637.0,12.0,-12.0,0,4250.0,67.0,-67.0,0,0.69,0.01,-0.01,0,0.68,0.02,-0.02,0,4.6,0.02,-0.02,0
TOI-220 b,TOI-220,1,Mass,0,3.03,0.15,-0.15,0,13.8,1.0,-1.0,0,10.695264,8.6e-05,-8.6e-05,0,805.0,21.0,-21.0,0,5298.0,65.0,-65.0,0,0.86,0.03,-0.03,0,0.82,0.03,-0.03,0,4.37,0.11,-0.11,0
WASP-29 b,WASP-29,0,Mass,0,8.698,0.482,-0.482,0,77.55052,6.3566,-6.3566,0,3.9227186,6.8e-06,-6.8e-06,0,970.0,32.0,-31.0,0,,,,0,0.81,0.04,-0.04,0,,,,0,,,,0
HAT-P-20 b,HAT-P-20,0,Mass,0,,,,0,2301.0892,57.2094,-57.2094,0,,,,0,,,,0,,,,0,,,,0,0.76,0.03,-0.03,0,,,,0
WASP-136 b,WASP-136,1,Mass,0,15.468,1.793,-1.793,0,479.9233,25.4264,-25.4264,0,5.215357,6e-06,-6e-06,0,1742.0,82.0,-82.0,0,6260.0,100.0,-100.0,0,2.21,0.22,-0.22,0,1.41,0.07,-0.07,0,3.9,0.06,-0.06,0
WASP-42 b,WASP-42,0,Mass,0,11.915,0.572,-0.572,0,159.23283,10.80622,-10.80622,0,4.9816872,7.3e-06,-7.3e-06,0,,,,0,5200.0,150.0,-150.0,0,0.85,0.04,-0.04,0,0.88,0.09,-0.08,0,,,,0
WASP-12 b,WASP-12,0,Mass,0,20.389,1.592,-1.592,0,448.1403,31.783,-31.783,0,1.0914199,2e-07,-2e-07,0,2601.0,18.0,-18.0,0,6300.0,200.0,-100.0,0,1.57,0.07,-0.07,0,1.35,0.14,-0.14,0,4.17,0.03,-0.03,0
WASP-24 b,WASP-24,0,Mass,0,,,,0,355.65177,9.21707,-9.21707,0,,,,0,,,,0,,,,0,,,,0,1.18,0.03,-0.03,0,,,,0
WASP-41 b,WASP-41,0,Mass,0,13.227,0.336,-0.336,0,298.7602,15.8915,-15.8915,0,3.052404,9e-07,-9e-07,0,1244.0,10.0,-10.0,0,5545.0,33.0,-33.0,0,0.87,0.03,-0.03,0,0.93,0.07,-0.07,0,4.53,0.02,-0.02,0
WASP-83 b,WASP-83,1,Mass,0,11.657,0.897,-0.56,0,95.349,9.5349,-9.5349,0,4.971252,1.5e-05,-1.5e-05,0,1120.0,30.0,-30.0,0,5510.0,110.0,-110.0,0,1.05,0.06,-0.04,0,1.11,0.09,-0.09,0,4.44,0.02,-0.04,0
HAT-P-51 b,HAT-P-51,1,Mass,0,14.493,0.605,-0.605,0,98.20947,5.72094,-5.72094,0,4.2180278,5.9e-06,-5.9e-06,0,1192.0,21.0,-21.0,0,5449.0,50.0,-50.0,0,1.04,0.04,-0.03,0,0.98,0.03,-0.03,0,4.39,0.03,-0.03,0
WASP-93 b,WASP-93,1,Mass,0,17.901,0.863,-0.863,0,467.2101,92.1707,-92.1707,0,2.7325321,2e-06,-2e-06,0,1942.0,38.0,-38.0,0,6700.0,100.0,-100.0,0,1.52,0.04,-0.04,0,1.33,0.03,-0.03,0,4.2,0.02,-0.02,0
TOI-776 c,TOI-776,1,Mass,0,2.02,0.14,-0.14,0,5.3,1.8,-1.8,0,15.6653,0.0004,-0.0003,0,415.0,14.0,-14.0,0,3709.0,70.0,-70.0,0,0.54,0.02,-0.02,0,0.54,0.03,-0.03,0,4.73,0.03,-0.03,0
WASP-46 b,WASP-46,0,Mass,0,14.684,0.572,-0.572,0,667.733,23.201,-23.201,0,1.43037,2.3e-06,-2.3e-06,0,,,,0,5620.0,160.0,,0,0.92,0.03,,0,0.96,0.03,,0,,,,0
HAT-P-26 b,HAT-P-26,0,Mass,0,,,,0,18.91089,2.28838,-2.25659,0,,,,0,,,,0,,,,0,,,,0,0.82,0.03,-0.03,0,,,,0
55 Cnc b,55 Cnc,0,Mass,0,,,,0,263.9785,1.0488,-1.0488,0,14.65152,0.00015,-0.00015,0,,,,0,,,,0,,,,0,0.95,,,0,,,,0
HAT-P-40 b,HAT-P-40,0,Mass,0,19.392,0.695,-0.695,0,195.457,12.077,-12.077,0,4.457243,1e-05,-1e-05,0,1770.0,33.0,-33.0,0,6080.0,100.0,,0,2.21,0.06,,0,1.51,0.11,,0,,,,0
WASP-42 b,WASP-42,0,Mass,0,12.106,0.639,-0.639,0,158.908,11.124,-11.124,0,4.9816872,7.3e-06,-7.3e-06,0,,,,0,5200.0,150.0,,0,0.86,0.04,,0,0.88,0.09,,0,,,,0
WASP-34 b,WASP-34,0,Mass,0,,,,0,181.1631,9.5349,-9.5349,0,4.3176779,4.5e-06,-4.5e-06,0,,,,0,,,,0,,,,0,1.01,0.07,-0.07,0,,,,0
WASP-66 b,WASP-66,0,Mass,0,15.581,1.009,-1.009,0,737.335,41.316,-41.316,0,4.086052,7e-06,-7e-06,0,,,,0,6580.0,170.0,,0,1.75,0.09,,0,1.3,0.07,,0,,,,0
HAT-P-69 b,HAT-P-69,1,Mass,0,18.786,0.572,-0.37,0,1137.8314,184.3414,-184.3414,0,4.7869491,1.8e-06,-2.1e-06,0,1930.0,80.0,-230.0,0,7394.0,360.0,-600.0,0,1.93,0.06,-0.03,0,1.65,0.06,-0.03,0,4.11,0.03,-0.06,0
HAT-P-30 b,HAT-P-30,0,Mass,0,,,,0,230.74458,8.58141,-8.58141,0,,,,0,,,,0,,,,0,,,,0,1.24,0.04,-0.04,0,,,,0
HD 28109 d,HD 28109,1,Mass,0,3.25,0.11,-0.11,0,5.681,2.738,-2.11,0,84.25999,0.00744,-0.00662,0,506.5,8.7,-8.0,0,6120.0,50.0,-50.0,0,1.45,0.04,-0.04,0,1.26,0.08,-0.08,0,4.13,0.1,-0.1,0
L 98-59 c,L 98-59,1,Mass,0,1.385,0.095,-0.075,0,2.22,0.26,-0.25,0,3.6906777,1.6e-06,-2.6e-06,0,553.0,27.0,-26.0,0,3415.0,135.0,-135.0,0,0.3,0.03,-0.02,0,0.27,0.03,-0.03,0,4.86,0.13,-0.13,0
